content,sentiment
Matchmaking buruk,negatif
mantap muntun,positif
Kerennnn,positif
jangan berharap ml jadi game yg fairplay..ml juga jgn berharap dapet komen yg bagus karna curangnya yg udah kelewatan..,negatif
seruuuu,positif
Sistemnya kadang kadang eror Mulu,negatif
good,positif
"Ml game kontollllll babiii gameee monyett, kebanyakan season tim isinya anakk dajallll semua Ml monyet",negatif
Hjvin,negatif
"banyak event, sering- sering bagi² skin",positif
Ml sagat puas walu pun dgn hp kentang,positif
lumayan,positif
Game bagus nii,positif
Mantap banget,positif
Apa Cok guabaru juga main kenapa malah stack doang woy ini kenapa lah,negatif
Moonton anjg banyak drak sistem babi kau,negatif
Minis byak drak sistem,negatif
"Hade!! Moonton kalo kita losetrek jng kasih yg losetrek juga dong,udah mau niak glori, setiap kurang 1 bintang pasti losetrek sampai gak jadi naik hadee!!",negatif
Game nya seru,positif
Bagus gamenya,positif
Cobalah moonton kasih tim yg bener dikit. Cape gw Los strek taii. Lama lama pinda game honor of king gw,negatif
banyak dark system but of corse,positif
"Match making selalu tak seimbang, tim sendiri tolol tim musuhnya malah jago",negatif
Kalok ngasih tim ngotak Dikit kntl,positif
Sudah sekian kalinya masalah jaringan nga di perbaiki terus saya cape bermain game kikir ini sekian dari saya jangan kapok buat orang marah,negatif
😘,positif
please,positif
Geme.yang seru dan juga keren efek yg begitu keren dan menarik skin yg unik juga keren abis,positif
Sangat bagusss,positif
Sangat bagus enak di mainkan,positif
Kadang gajelas ketemu tim ga seimbang,negatif
Sngat bermanfaat bngt untuk ber kerja sma dengan tim itu seru,positif
"hallo moonton, saya sangat kecewa makin kesini makin banyak dark system tolong di perbaiki, tiap rank naik dikit ketemu dark system loss streak mulu.",negatif
Mantap,positif
TERLALU BANYAK EVENT. TOMBOL MERAH INI ITU. BOSEN BANG,positif
Game bagus,positif
game k0n,negatif
👍🏻,positif
Game yg terlalu banyak afk n ccd ampas sistem busuk.. Game ampas...,negatif
Tolong kepeda monton yang terhormat kalo kasih tim dan musuh itu ngotak lah sikit tim saya dan tim musuh jauh perbandingannya tim musuh labih jago dari tim saya tolong seimbangkan lah muntun,negatif
Mantap gamenya seru banget,positif
keren,positif
bagus banget game nya sangat ramah,positif
Ga ada yang bener klo matching tim nya banyak akun nggak jelas,negatif
Game Ini Keren Banget Deh pokoknya,positif
Saya ingin sekali dapat sekin yg bagu,positif
dikasih team dark sistem,negatif
BAGUSSSS,positif
Bagus,positif
Good,positif
Klo penglaman saya bermain game ini sangat buruk pas masuk di rank epik ketika main solo dapat team dracksistem selalu dan musuh jago jago di kasih monton saya sangat kecewa dengan game yang 1 ini,negatif
Kebanyakan dark system,negatif
Mantap,positif
Kalah 2x menang 1x terus berturut turut dari lagend 1 turun sampai epic 1 Saranku mending main honor of kings,negatif
Pertahankan apa yang sudah di miliki,positif
Mantap pokok nya,positif
Perbaiki match,positif
Bagus,positif
tau dah capek gw toon,negatif
Seru dan semakin menarik dan banyak yang buat emosi,positif
Bagus,positif
MOHON MONTONN DARK SISTEMNYA DIHAPUSSS BIAR GAK NGERUSAK MENTAL ORANGG,negatif
Woooow,positif
"Makin pembaruan makin menangis org yg main kan game ini di ram 4, delay crush nya gak ngotak walaupun uda di buat di setingan paling sederhana",negatif
Game seru dan menyenangkan,positif
Mantap,positif
game anti kikir 👍,positif
"GAME INI HARUS DI BOIKOT SUDAH BANYAK KORBANNYA,, SYSTEMNYA SEPERTI JUDI ONLINE TERLALU BANYAK KALAH NYA.. SEMOGA ADA YG MEMBUAT REVIEW GAME INI SUPAYA DI BOIKOT.. SAYA AKAN SUPORT",negatif
Dark,negatif
Lumayan,positif
"burik, bnyk dark sistem",negatif
Game seru pemainnya ramah banget aku suka,positif
"Jelek, bikin persahabatan hancur",negatif
Mantap,positif
"I hope Moonton will immediately improve the matchmaking system on the battlefield because the comparison between winning and losing is a lot of losing. If this game is not fixed immediately, players will abandon it because they keep losing and getting bored.",negatif
"Sumpah dark sistem banget bisa nya di kasih team noob semua tidak ada yang bagus, jangan pernah main ini lagi guys dark sistem",negatif
Macthmaking masih no se imbang,positif
Coba lah moonton dark sistem nya jangan di kasih main di ban aja lah pusing aing,negatif
